No.,Items1,Items2,Items3,Items4,Items5,Items6,Items7,Items8,Items9,,,,,,,,,,,,,,,,,,,,,,,
1,Bollen_pisang,Kue_Kering,Risoles,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Kroket,EsKopi_botol,Kroisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Kroket,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Risoles,EsKopi_botol,RotiManis_Keju,Roti_Tawar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Camilan_khas_pati,EsCoklat_botol,EsKopi_botol,Roti_Tawar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Kroket,Maffin,EsCoklat_botol,Risoles,EsKopi_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kue_lumpur,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Camilan_khas_pati,Donat,Kroket,Bollen_pisang,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sosis_solo,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Kroket,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Kroket,Brownies,Roti_Tawar,Donat,EsCoklat_botol,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bollen_pisang,Kue_Kering,EsCoklat_botol,Kroket,RotiManis_Keju,Arem_arem,Donat,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,
13,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Maffin,Apem,RotiManis_Keju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Roti_Tawar,Donat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Kue_Kering,Kroisan,Donat,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,RotiManis_Keju,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Risoles,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Roti_Tawar,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Misoa,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Camilan_khas_pati,Bollen_pisang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Kue_Kering,Kroket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Kroket,Bollen_pisang,Camilan_khas_pati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Kroket,Roti_Tawar,Arem_arem,RotiManis_Selai,Kue_lumpur,,,,,,,,,,,,,,,,,,,,,,,,,,,
